brand,screen_size,harddisk,cpu,OS,price,integer_ram
Hp,15.6,512.0,Ryzen,Win,699.0,16.0
Hp,14.0,64.0,Celeron,Chrome OS,239.0,4.0
Microsoft,13.5,512.0,Intel,Win,1198.99,16.0
Lenovo,14.0,512.0,Intel,Win,689.0,16.0
Dell,13.3,512.0,Intel,Win,1680.56,16.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,64.0,Celeron,Win,129.99,4.0
Acer,14.0,512.0,Intel,Win,886.37,16.0
Hp,14.0,256.0,Athlon,Win,159.99,8.0
Hp,15.6,1.0,Ryzen,Win,732.0,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,15.6,128.0,Celeron,Win,185.95,4.0
Acer,14.0,64.0,Celeron,Chrome OS,204.0,4.0
Acer,17.3,512.0,Intel,Win,699.99,16.0
Lenovo,15.6,512.0,Intel,Win,485.0,8.0
Dell,15.6,512.0,Intel,Win,1499.99,16.0
Asus,14.0,128.0,Intel,Win,460.48,4.0
Lg,17.0,512.0,Intel,Win,1199.0,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,16.0,1.0,Intel,Win,849.0,16.0
Lenovo,14.0,64.0,Celeron,Win,220.69,4.0
Acer,16.0,512.0,Ryzen,Win,1241.46,16.0
Lenovo,14.0,512.0,Intel,Win,443.0,8.0
Hp,14.0,64.0,Celeron,Chrome OS,225.0,4.0
Panasonic,14.0,1.0,Intel,Win,655.96,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,15.6,1.0,Intel,Win,689.65,32.0
Asus,17.3,64.0,Pentium,Chrome OS,246.0,4.0
Lenovo,16.0,4.0,Intel,Win,1949.0,32.0
Hp,15.6,512.0,Ryzen,Win,1137.02,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,17.3,64.0,Celeron,Chrome OS,247.36,4.0
Acer,15.6,512.0,Intel,Win,1199.0,16.0
Acer,15.6,512.0,Ryzen,Win,450.0,8.0
Asus,14.5,512.0,Intel,Win,689.49,12.0
Asus,15.6,4.0,Intel,Win,2819.0,64.0
Asus,15.6,512.0,Intel,Win,901.56,16.0
Asus,16.0,512.0,Intel,Win,1399.99,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,512.0,Intel,Chrome OS,979.99,16.0
Asus,15.6,512.0,Intel,Win,1259.99,16.0
Samsung,14.0,128.0,Snapdragon,Win,345.0,4.0
Msi,16.0,2.0,Intel,Win,2198.99,32.0
Panasonic,13.1,240.0,Intel,Win,420.0,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,14.0,512.0,Intel,Win,1658.99,16.0
Toughbook,13.1,256.0,Intel,Win,1550.99,16.0
Hp,11.6,128.0,Celeron,Win,245.0,4.0
Asus,16.0,1.0,Intel,Win,1646.99,16.0
Dell,15.6,512.0,Intel,Win,1109.18,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,14.0,64.0,Celeron,Win,195.0,4.0
Hp,15.6,1.0,Ryzen,Win,269.0,4.0
Dell,15.6,512.0,Intel,Win,1349.99,16.0
Dell,14.0,256.0,Intel,Win,835.85,8.0
